 Cod. Tipo Entidad ; Tipo Entidad ; Cód. Entidad ; Entidad ; Cód. País ; País ; Cod CCAA ; CCAA ; Cod. Provincia ; Provincia ; Cód. Municipio ; Municipio/Población ; Domicilio ; CP ; Tipo 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 127 ; ROZAS DE MADRID (LAS) ; ZZ REAL, 31  ; 28230 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 148 ; TORREJON DE ARDOZ ; ZZ PESQUERA, 3     (OF PRAL)  ; 28850 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 903 ; TRES CANTOS ; AV COLMENAR VIEJO, 22 SEC LITERATOS  ; 28760 ; Operativas ; 
BP ; BANCOS ; 0036 ; SANTANDER INVESTMENT, S.A. (0036) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 022 ; BOADILLA DEL MONTE ; AV DE CANTABRIA S/N ; 28022 ; Operativas ; 
BP ; BANCOS ; 0038 ; CACEIS BANK SPAIN S.A. (0038) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 079 ; MADRID ; AV GRAN VIA DE HORTALEZA 3 ; 28033 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 002 ; AJALVIR ; CL FRAGUA, 2 0002 ; 28864 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 005 ; ALCALA DE HENARES ; AV COMPLUTENSE 57 ; 28805 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 005 ; ALCALA DE HENARES ; CL CDAD. RESIDENCIAL UNIVERSITARIA LOCAL 3 S/N ; 28805 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 005 ; ALCALA DE HENARES ; CL JOSE MARIA PEREDA, 4 0004 ; 28806 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 005 ; ALCALA DE HENARES ; CL ANTONIO MACHADO, 1 0001 ; 28805 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 005 ; ALCALA DE HENARES ; AV JUAN CARLOS I 13 ; 28806 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 005 ; ALCALA DE HENARES ; CL TORRELAGUNA, 4 0004 ; 28807 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 005 ; ALCALA DE HENARES ; CL LIBREROS, 19 0019 ; 28801 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 005 ; ALCALA DE HENARES ; AV AV. DE LOS REYES CATOLICOS, 4 0004 ; 28802 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 005 ; ALCALA DE HENARES ; CL JUAN DE AUSTRIA, 6 0006 ; 28805 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 006 ; ALCOBENDAS ; CL AZALEA 1 ; 28109 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 006 ; ALCOBENDAS ; CL CONSTITUCION 86 ; 28100 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 006 ; ALCOBENDAS ; PZ PL. PUEBLO, 10 0010 ; 28100 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 006 ; ALCOBENDAS ; AV BRUSELAS 6 ; 28108 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 006 ; ALCOBENDAS ; CL BEGONIA, 113 LOCAL 3 (C.C.LOS CEDROS) 0113 ; 28109 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 006 ; ALCOBENDAS ; PS PO. LA CHOPERA, 178 0178 ; 28100 ; Operativas ; 
